Municipios; Homicidio  Doloso;Vitimas de Homicidio Doloso; Latrocinio; Furtos;Abigeato*;Furto de Veiculo ; Roubos; Roubo de Veiculo; Estelionato; Delitos Relacionados a Armas e Municoes; Entorpecentes Posse; Entorpecentes Trafico;Vitimas de Latrocinio;Vitimas de Lesao Corp Seg Morte
IGREJINHA;0;0;0;32;0;6;2;0;21;0;2;4;0;0
IJUI;1;1;0;70;2;5;5;0;55;3;4;13;0;0
ILOPOLIS;0;0;0;3;0;0;0;0;2;0;2;0;0;0
IMBE;2;2;0;94;1;2;12;0;34;3;10;6;0;0
IMIGRANTE;0;0;0;0;0;0;0;0;2;0;1;0;0;0
INDEPENDENCIA;0;0;0;3;0;1;0;0;0;0;0;0;0;0
INHACORA;0;0;0;0;0;0;0;0;1;0;0;0;0;0
IPE;0;0;0;7;0;0;1;0;4;0;0;1;0;0
IPIRANGA DO SUL;0;0;0;0;0;0;0;0;1;0;0;0;0;0
IRAI;0;0;0;15;0;1;0;0;5;0;2;0;0;0
ITAARA;0;0;0;8;0;0;1;0;2;1;0;1;0;0
ITACURUBI;0;0;0;2;2;0;0;0;0;1;0;0;0;0
ITAPUCA;0;0;0;3;3;0;0;0;0;0;0;0;0;0
ITAQUI;0;0;0;35;1;0;1;0;8;3;5;3;0;0
ITATI;0;0;0;0;0;0;0;0;1;1;0;0;0;0
ITATIBA DO SUL;0;0;0;1;0;0;0;0;0;0;0;0;0;0
IVORA;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IVOTI;0;0;0;5;0;3;1;0;10;0;0;0;0;0
JABOTICABA;0;0;0;2;0;0;0;0;5;0;0;0;0;0
JACUIZINHO;0;0;0;1;0;0;0;0;0;1;0;0;0;0
JACUTINGA;0;0;0;1;0;0;0;0;2;0;0;0;0;0
JAGUARAO;1;1;0;34;3;5;1;0;6;3;2;3;0;0
JAGUARI;0;0;0;5;2;0;0;0;3;0;1;0;0;0
JAQUIRANA;0;0;0;5;2;0;0;0;2;0;0;0;0;0
JARI;0;0;0;1;1;0;0;0;0;0;0;0;0;0
JOIA;0;0;0;3;1;0;0;0;3;0;0;1;0;0
JULIO DE CASTILHOS;0;0;0;16;0;1;3;0;9;0;4;1;0;0
LAGOA BONITA DO SUL;0;0;0;1;0;0;0;0;0;0;0;0;0;0
LAGOA DOS TRES CANTOS;0;0;0;1;0;0;0;0;0;0;0;0;0;0
LAGOA VERMELHA;0;0;0;39;1;2;0;1;21;4;5;7;0;0
LAGOAO;0;0;0;4;1;0;0;0;1;0;0;0;0;0
LAJEADO;0;0;0;37;0;10;5;0;49;4;8;5;0;0
LAJEADO DO BUGRE;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LAVRAS DO SUL;0;0;0;9;4;0;0;0;2;0;0;1;0;0
LIBERATO SALZANO;0;0;0;1;0;0;0;0;0;0;0;1;0;0
LINDOLFO COLLOR;0;0;0;1;0;0;0;0;2;1;0;0;0;0
LINHA NOVA;0;0;0;0;0;0;1;0;1;0;0;0;0;0
MACAMBARA;0;0;0;2;1;0;0;0;0;1;0;0;0;0
MACHADINHO;0;0;0;3;0;0;0;0;2;1;0;0;0;0
MAMPITUBA;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MANOEL VIANA;0;0;0;3;0;0;0;0;5;0;0;0;0;0
MAQUINE;0;0;0;4;0;1;0;0;2;0;0;0;0;0
MARATA;0;0;0;1;0;0;0;0;1;0;0;0;0;0
MARAU;0;0;0;42;2;0;1;0;38;2;3;1;0;0
MARCELINO RAMOS;0;0;0;3;0;0;0;0;0;1;0;0;0;0
MARIANA PIMENTEL;0;0;0;0;0;0;1;0;1;0;1;0;0;0
MARIANO MORO;0;0;0;2;0;0;0;0;0;1;0;0;0;0
MARQUES DE SOUZA;0;0;0;2;0;0;0;0;0;0;0;0;0;0
MATA;0;0;0;1;0;0;0;0;4;0;0;0;0;0
MATO CASTELHANO;0;0;0;1;0;0;0;0;2;0;1;0;0;0
MATO LEITAO;0;0;0;3;0;0;1;0;1;0;0;0;0;0
MATO QUEIMADO;0;0;0;0;0;0;0;0;1;0;0;0;0;0
MAXIMILIANO DE ALMEIDA;0;0;0;2;0;0;0;0;1;1;0;1;0;0
MINAS DO LEAO;0;0;0;2;0;0;0;0;2;0;0;1;0;0
MIRAGUAI;1;1;0;3;1;1;0;0;0;1;0;0;0;0
MONTAURI;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONTE ALEGRE DOS CAMPOS;0;0;0;3;1;0;0;0;0;0;0;0;0;0
MONTE BELO DO SUL;0;0;0;2;0;0;0;0;0;0;0;0;0;0
MONTENEGRO;0;0;0;62;2;2;4;0;39;1;20;14;0;0
MORMACO;0;0;0;4;0;0;0;0;0;0;0;0;0;0
MORRINHOS DO SUL;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MORRO REDONDO;0;0;0;1;0;0;0;0;2;0;0;0;0;0
MORRO REUTER;0;0;0;2;0;0;0;0;2;0;0;0;0;0
MOSTARDAS;0;0;0;11;0;1;1;0;6;0;0;4;0;0
MUCUM;0;0;0;3;0;0;1;0;0;0;0;0;0;0
MUITOS CAPOES;0;0;0;3;2;1;0;0;0;0;0;0;0;0
MULITERNO;0;0;0;0;0;0;0;0;2;0;0;0;0;0
NAO-ME-TOQUE;0;0;0;5;0;1;1;0;13;2;3;3;0;0
NICOLAU VERGUEIRO;0;0;0;1;0;0;0;0;0;1;1;0;0;0
NONOAI;0;0;0;3;0;0;0;0;0;0;6;2;0;0
NOVA ALVORADA;0;0;0;1;0;0;0;0;2;0;0;0;0;0
NOVA ARACA;0;0;0;3;0;0;0;0;0;0;0;0;0;0
NOVA BASSANO;0;0;0;4;0;0;0;0;6;0;1;0;0;0
NOVA BOA VISTA;0;0;0;2;0;0;0;0;0;1;0;0;0;0
NOVA BRESCIA;0;0;0;3;0;0;0;0;1;1;1;0;0;0
NOVA CANDELARIA;0;0;0;1;1;0;0;0;0;0;0;0;0;0
NOVA ESPERANCA DO SUL;0;0;0;0;0;0;0;0;2;0;0;0;0;0
NOVA HARTZ;0;0;0;7;1;0;1;0;21;0;9;3;0;0
NOVA PADUA;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NOVA PALMA;0;0;0;2;1;0;0;1;1;0;0;0;0;0
NOVA PETROPOLIS;1;1;0;3;0;1;0;0;15;0;7;1;0;0
NOVA PRATA;0;0;0;7;0;0;0;0;12;1;7;4;0;0
NOVA RAMADA;0;0;0;2;0;0;0;0;1;0;0;0;0;0
NOVA ROMA DO SUL;0;0;0;1;1;0;0;0;0;0;0;1;0;0
NOVA SANTA RITA;0;0;0;24;3;2;6;1;20;1;3;0;0;0
NOVO BARREIRO;0;0;0;3;0;0;0;0;1;0;0;0;0;0
NOVO CABRAIS;0;0;0;4;0;0;0;0;2;0;0;0;0;0
NOVO HAMBURGO;3;3;0;253;0;37;96;23;110;12;13;19;0;0
NOVO MACHADO;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NOVO TIRADENTES;0;0;0;0;0;0;0;0;1;0;0;0;0;0
NOVO XINGU;0;0;0;1;0;0;0;0;0;0;0;0;0;0
OSORIO;0;0;0;78;1;2;2;4;30;0;13;15;0;0
PAIM FILHO;0;0;0;3;1;1;0;0;0;0;2;0;0;0
PALMARES DO SUL;0;0;0;15;1;0;4;0;8;0;2;3;0;0
PALMEIRA DAS MISSOES;0;0;0;31;1;3;3;1;24;1;3;2;0;0
PALMITINHO;0;0;0;7;2;3;0;0;3;1;0;0;0;0
PANAMBI;0;0;0;29;0;0;0;1;24;4;2;0;0;0
PANTANO GRANDE;0;0;0;5;2;0;0;0;2;0;1;0;0;0
PARAI;0;0;0;3;0;0;0;0;3;0;0;0;0;0
PARAISO DO SUL;0;0;0;1;0;1;0;0;2;2;0;0;0;0
PARECI NOVO;0;0;0;1;0;0;0;0;0;0;1;0;0;0
PAROBE;1;1;0;28;0;11;4;1;28;0;2;3;0;0
PASSA SETE;0;0;0;2;1;1;0;0;0;0;0;0;0;0
PASSO DO SOBRADO;0;0;0;5;1;0;0;0;1;0;0;0;0;0
PASSO FUNDO;1;1;0;179;1;8;40;5;141;13;18;25;0;0
PAULO BENTO;0;0;0;1;0;0;0;0;0;0;1;0;0;0
PAVERAMA;0;0;0;2;0;0;0;0;2;0;1;0;0;0
PEDRAS ALTAS;0;0;0;1;0;0;0;0;0;0;0;0;0;0
PEDRO OSORIO;0;0;0;6;0;0;1;0;3;1;0;1;0;0
PEJUCARA;0;0;0;1;0;0;0;0;3;0;0;0;0;0
PELOTAS;2;2;0;195;0;16;107;2;189;9;11;36;0;0
PICADA CAFE;0;0;0;4;0;0;0;0;2;0;0;0;0;0
PINHAL;0;0;0;2;0;0;0;0;1;0;0;0;0;0
PINHAL DA SERRA;0;0;0;0;0;0;0;0;2;0;0;0;0;0
PINHAL GRANDE;1;1;0;0;0;0;0;0;2;0;0;0;0;0
PINHEIRINHO DO VALE;0;0;0;0;0;0;1;0;0;0;0;0;0;0
PINHEIRO MACHADO;0;0;0;6;2;0;1;1;2;0;0;0;0;0
PINTO BANDEIRA;0;0;0;1;0;0;0;0;0;0;0;0;0;0
PIRAPO;0;0;0;2;1;0;0;0;0;1;0;0;0;0
PIRATINI;0;0;0;14;5;0;3;0;4;0;1;0;0;0
PLANALTO;0;0;0;0;0;0;0;0;5;0;0;2;0;0
POCO DAS ANTAS;0;0;0;1;0;0;0;0;1;0;0;0;0;0
PONTAO;0;0;0;1;0;0;0;0;1;1;0;0;0;0
PONTE PRETA;0;0;0;0;0;0;0;0;1;0;0;0;0;0
PORTAO;0;0;0;20;1;0;10;1;8;2;1;4;0;0
PORTO ALEGRE;23;25;1;1786;1;139;1628;198;1475;65;171;176;1;0
PORTO LUCENA;0;0;0;5;0;0;0;0;0;2;1;0;0;0
PORTO MAUA;0;0;0;3;1;0;0;0;0;0;0;0;0;0
PORTO VERA CRUZ;0;0;0;4;2;0;0;0;0;0;0;0;0;0
PORTO XAVIER;0;0;0;3;1;1;0;0;1;0;2;2;0;0
POUSO NOVO;1;1;0;1;0;0;3;0;0;0;1;0;0;0
PRESIDENTE LUCENA;0;0;0;0;0;0;0;0;4;0;0;0;0;0
PROGRESSO;0;0;0;6;2;0;1;0;0;0;1;0;0;0
PROTASIO ALVES;0;0;0;0;0;0;0;0;0;1;0;0;0;0
PUTINGA;0;0;0;1;0;0;0;0;2;0;0;0;0;0
QUARAI;0;0;0;26;4;3;1;0;5;1;1;5;0;0
QUATRO IRMAOS;0;0;0;0;0;0;0;0;0;1;0;0;0;0
QUEVEDOS;0;0;0;2;1;0;0;0;0;0;0;0;0;0
QUINZE DE NOVEMBRO;0;0;0;2;1;0;0;0;1;1;1;0;0;0
REDENTORA;0;0;0;4;0;0;1;0;1;0;1;0;0;0
RELVADO;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RESTINGA SECA;1;1;0;8;1;1;0;0;4;0;2;1;0;0
RIO DOS INDIOS;0;0;0;2;0;0;0;0;0;1;0;0;0;0
RIO GRANDE;5;5;0;244;0;18;123;4;145;9;22;64;0;0
RIO PARDO;0;0;0;21;3;0;1;0;9;3;0;3;0;0
RIOZINHO;0;0;0;4;0;0;0;0;0;0;1;0;0;0
ROCA SALES;0;0;0;7;0;0;1;0;3;0;1;0;0;0
RODEIO BONITO;1;1;0;1;1;1;0;0;6;0;5;2;0;0
ROLADOR;0;0;0;1;0;1;0;0;1;0;0;0;0;0
ROLANTE;0;0;0;10;0;0;0;1;4;0;3;2;0;0
RONDA ALTA;0;0;0;5;0;1;0;0;3;1;0;1;0;0
RONDINHA;0;0;0;1;1;0;0;0;0;0;0;0;0;0
ROQUE GONZALES;0;0;0;3;0;0;0;0;0;1;0;0;0;0
ROSARIO DO SUL;0;0;0;17;5;4;0;0;9;0;5;5;0;0
SAGRADA FAMILIA;0;0;0;3;0;0;0;0;1;0;0;0;0;0
SALDANHA MARINHO;0;0;0;0;0;0;0;0;1;0;1;0;0;0
SALTO DO JACUI;0;0;0;13;1;0;1;0;17;1;1;0;0;0
SALVADOR DAS MISSOES;0;0;0;0;0;0;0;0;2;0;0;0;0;0
SALVADOR DO SUL;1;1;0;2;0;0;0;0;5;0;0;1;0;0
SANANDUVA;0;0;0;2;0;0;2;0;5;0;0;0;0;0
